Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20210201,clip_0_0000,5,2021-02-01 00:00:00,-1.1,97,0.0,-1.6,196,2.8,0,0.0
20210201,clip_50_2353,115,2021-02-01 23:53:00,-5.3,97,0.0,-5.7,0,0.0,0,0.0
20210201,clip_28_1411,115,2021-02-01 14:11:00,2.2,77,0.0,-1.3,216,2.4,261,10.0
20210201,clip_37_1812,115,2021-02-01 18:12:00,-1.5,87,0.0,-3.3,145,1.9,0,0.0
20210202,clip_0_0000,5,2021-02-02 00:00:00,-5.6,97,0.0,-6.1,0,0.0,0,0.0
20210202,clip_50_2354,115,2021-02-02 23:54:00,-3.2,86,0.0,-5.2,27,2.1,0,0.0
20210202,clip_23_1146,5,2021-02-02 11:46:00,-0.5,99,0.0,-0.7,71,1.0,145,2.5
20210202,clip_21_0948,5,2021-02-02 09:48:00,-3.1,98,0.0,-3.3,327,0.3,132,2.5
20210203,clip_0_0000,5,2021-02-03 00:00:00,-3.3,85,0.0,-5.5,37,2.3,0,0.0
20210203,clip_25_2347,115,2021-02-03 23:47:00,-4.9,79,0.0,-8.0,54,4.7,0,0.0
20210203,clip_15_1639,40,2021-02-03 16:39:00,-3.9,80,0.0,-6.8,58,3.7,0,0.0
20210203,clip_8_1348,115,2021-02-03 13:48:00,-2.9,83,0.0,-5.5,53,3.4,58,0.0
20210204,clip_0_0000,5,2021-02-04 00:00:00,-4.9,81,0.0,-7.7,49,3.7,0,0.0
20210204,clip_51_2342,115,2021-02-04 23:42:00,-5.6,81,0.0,-8.3,52,2.4,0,0.0
20210204,clip_28_1302,115,2021-02-04 13:02:00,-3.8,75,0.0,-7.5,61,2.8,153,4.0
20210204,clip_8_0344,115,2021-02-04 03:44:00,-6.4,83,0.0,-8.7,50,4.0,0,0.0
20210205,clip_0_0000,5,2021-02-05 00:00:00,-5.7,81,0.0,-8.4,54,2.3,0,0.0
20210205,clip_48_2336,115,2021-02-05 23:36:00,-6.4,76,0.0,-9.9,66,2.2,0,0.0
20210205,clip_13_0729,115,2021-02-05 07:29:00,-10.0,91,0.0,-11.2,49,1.2,10,0.0
20210205,clip_25_1242,115,2021-02-05 12:42:00,-3.9,68,0.0,-9.0,64,2.7,291,10.0
20210206,clip_0_0000,5,2021-02-06 00:00:00,-6.4,76,0.0,-9.9,62,2.6,0,0.0
20210206,clip_52_2340,115,2021-02-06 23:40:00,-8.3,81,0.0,-11.0,48,1.5,0,0.0
20210206,clip_25_1152,115,2021-02-06 11:52:00,-3.3,63,0.0,-9.3,69,3.0,342,10.0
20210206,clip_36_1640,6,2021-02-06 16:40:00,-6.0,75,0.0,-9.7,63,1.9,0,0.0
20210207,clip_0_0000,5,2021-02-07 00:00:00,-8.6,84,0.0,-10.8,51,1.5,0,0.0
20210207,clip_49_2350,115,2021-02-07 23:50:00,-5.2,81,0.0,-8.0,55,2.8,0,0.0
20210207,clip_16_0902,5,2021-02-07 09:02:00,-4.9,81,0.0,-7.7,87,2.8,99,2.0
20210207,clip_32_1611,115,2021-02-07 16:11:00,-4.1,78,0.0,-7.4,70,2.5,3,0.0
20210208,clip_0_0000,5,2021-02-08 00:00:00,-5.4,83,0.0,-7.8,52,2.7,0,0.0
20210208,clip_37_1951,115,2021-02-08 19:51:00,-3.5,68,0.0,-8.5,65,3.8,0,0.0
