Unnamed: 0,Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
556677,20210201,clip_0_0000,5,2021-02-01 00:00:00,-1.1,97,0.0,-1.6,196,2.8,0,0.0
562837,20210201,clip_50_2353,115,2021-02-01 23:53:00,-5.3,97,0.0,-5.7,0,0.0,0,0.0
560175,20210201,clip_28_1411,115,2021-02-01 14:11:00,2.2,77,0.0,-1.3,216,2.4,261,10.0
561264,20210201,clip_37_1812,115,2021-02-01 18:12:00,-1.5,87,0.0,-3.3,145,1.9,0,0.0
558799,20210201,clip_17_0857,70,2021-02-01 08:57:00,-0.1,98,0.0,-0.4,247,1.5,56,0.0
561880,20210201,clip_43_2100,5,2021-02-01 21:00:00,-3.7,97,0.0,-4.0,0,0.0,0,0.0
560670,20210201,clip_33_1620,5,2021-02-01 16:20:00,0.3,82,0.0,-2.4,209,1.3,0,0.0
557595,20210201,clip_7_0417,76,2021-02-01 04:17:00,-0.1,98,0.0,-0.5,216,3.2,0,0.0
559570,20210201,clip_23_1151,115,2021-02-01 11:51:00,0.9,90,0.0,-0.6,207,2.2,184,9.5
561748,20210201,clip_41_2004,115,2021-02-01 20:04:00,-2.4,96,0.0,-3.1,179,1.9,0,0.0
560967,20210201,clip_35_1716,60,2021-02-01 17:16:00,-0.6,87,0.0,-2.5,154,1.8,0,0.0
562243,20210201,clip_46_2224,5,2021-02-01 22:24:00,-4.7,98,0.0,-5.1,0,0.0,0,0.0
557271,20210201,clip_4_0253,115,2021-02-01 02:53:00,-1.6,97,0.0,-2.1,206,2.4,0,0.0
558118,20210201,clip_11_0609,115,2021-02-01 06:09:00,-0.7,99,0.0,-0.9,211,2.8,0,0.0
560428,20210201,clip_31_1535,5,2021-02-01 15:35:00,1.0,82,0.0,-1.8,199,0.6,16,0.0
559702,20210201,clip_25_1247,5,2021-02-01 12:47:00,1.8,87,0.0,-0.1,208,2.7,306,10.0
559106,20210201,clip_20_1021,14,2021-02-01 10:21:00,0.5,96,0.0,-0.1,190,2.0,102,0.0
557392,20210201,clip_5_0321,115,2021-02-01 03:21:00,-0.9,97,0.0,-1.3,220,3.0,0,0.0
560307,20210201,clip_30_1507,5,2021-02-01 15:07:00,1.6,81,0.0,-1.4,210,1.2,74,0.0
562485,20210201,clip_48_2257,5,2021-02-01 22:57:00,-5.7,97,0.0,-6.1,267,0.6,0,0.0
558459,20210201,clip_14_0733,93,2021-02-01 07:33:00,-0.4,99,0.0,-0.6,221,2.2,3,0.0
562122,20210201,clip_45_2156,5,2021-02-01 21:56:00,-4.2,98,0.0,-4.5,0,0.0,0,0.0
561385,20210201,clip_38_1840,115,2021-02-01 18:40:00,-2.0,89,0.0,-3.6,148,1.3,0,0.0
561033,20210201,clip_36_1744,5,2021-02-01 17:44:00,-1.1,88,0.0,-2.9,146,1.8,0,0.0
557051,20210201,clip_3_0124,16,2021-02-01 01:24:00,-1.2,95,0.0,-1.9,206,2.4,0,0.0
560791,20210201,clip_34_1648,5,2021-02-01 16:48:00,-0.2,85,0.0,-2.4,136,1.2,0,0.0
559835,20210201,clip_26_1315,17,2021-02-01 13:15:00,2.2,81,0.0,-0.7,215,3.0,276,10.0
561869,20210201,clip_42_2032,115,2021-02-01 20:32:00,-2.8,97,0.0,-3.3,192,0.4,0,0.0
559691,20210201,clip_24_1219,115,2021-02-01 12:19:00,1.3,89,0.0,-0.2,207,2.3,207,10.0
557494,20210201,clip_6_0349,96,2021-02-01 03:49:00,-0.5,98,0.0,-0.8,225,3.1,0,0.0
557876,20210201,clip_9_0513,115,2021-02-01 05:13:00,-0.1,98,0.0,-0.4,222,2.4,0,0.0
558953,20210201,clip_18_0925,103,2021-02-01 09:25:00,0.2,98,0.0,-0.2,218,1.1,135,10.0
557887,20210201,clip_10_0541,5,2021-02-01 05:41:00,-0.5,98,0.0,-0.8,209,2.3,0,0.0
