Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20200813,clip_0_0000,5,2020-08-13 00:00:00,12.9,96,0.0,12.2,119,1.2,0,0.0
20200813,clip_33_1435,115,2020-08-13 14:35:00,26.5,43,0.0,12.8,143,3.0,565,10.0
20200813,clip_54_2348,115,2020-08-13 23:48:00,13.1,96,0.0,12.4,0,0.0,0,0.0
20200813,clip_16_0709,115,2020-08-13 07:09:00,19.3,73,0.0,14.3,141,2.1,313,7.5
20200813,clip_42_1839,115,2020-08-13 18:39:00,20.5,57,0.0,11.8,111,1.1,36,0.5
20200813,clip_21_0926,5,2020-08-13 09:26:00,23.7,49,0.0,12.4,179,3.5,677,10.0
20200813,clip_13_0545,115,2020-08-13 05:45:00,14.9,98,0.0,14.5,107,1.9,137,3.0
20200813,clip_47_2032,5,2020-08-13 20:32:00,16.2,80,0.0,12.7,123,1.6,0,0.0
20200813,clip_39_1715,5,2020-08-13 17:15:00,23.4,46,0.0,11.0,144,3.6,200,10.0
20200813,clip_9_0353,115,2020-08-13 03:53:00,12.1,99,0.0,11.9,104,1.3,3,0.0
20200813,clip_25_1051,115,2020-08-13 10:51:00,25.6,43,0.0,12.0,148,3.5,765,10.0
20200813,clip_19_0833,5,2020-08-13 08:33:00,21.7,56,0.0,12.5,165,3.1,578,10.0
20200813,clip_43_1907,115,2020-08-13 19:07:00,18.6,63,0.0,11.5,118,1.4,5,0.0
20200813,clip_15_0641,115,2020-08-13 06:41:00,16.7,90,0.0,15.1,107,1.3,346,10.0
20200813,clip_36_1551,115,2020-08-13 15:51:00,25.1,44,0.0,12.1,134,3.5,419,10.0
20200814,clip_0_0000,5,2020-08-14 00:00:00,12.6,96,0.0,12.0,109,0.6,0,0.0
20200814,clip_30_1311,115,2020-08-14 13:11:00,27.8,37,0.0,11.9,238,2.3,691,10.0
20200814,clip_54_2347,115,2020-08-14 23:47:00,16.1,96,0.0,15.4,278,1.6,0,0.0
20200814,clip_16_0703,115,2020-08-14 07:03:00,19.7,73,0.0,14.8,196,1.8,362,10.0
20200814,clip_41_1808,5,2020-08-14 18:08:00,21.2,61,0.0,13.4,318,1.2,83,10.0
20200814,clip_20_0855,5,2020-08-14 08:55:00,24.4,45,0.0,11.9,229,2.6,618,10.0
20200814,clip_14_0607,5,2020-08-14 06:07:00,15.3,92,0.3,14.0,183,1.5,187,4.0
20200814,clip_11_0443,115,2020-08-14 04:43:00,11.4,99,0.1,11.3,109,0.9,30,0.0
20200814,clip_44_1918,5,2020-08-14 19:18:00,17.4,82,0.0,14.3,293,0.8,2,0.0
20200814,clip_36_1548,5,2020-08-14 15:48:00,24.2,58,0.0,15.3,304,2.7,416,10.0
20200814,clip_25_1051,5,2020-08-14 10:51:00,26.3,42,0.0,12.3,219,2.4,737,10.0
