Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20210423,clip_0_0000,5,2021-04-23 00:00:00,3.4,68,0.0,-2.0,332,2.8,0,0.0
20210423,clip_55_2336,115,2021-04-23 23:36:00,2.7,70,0.0,-2.1,332,2.3,0,0.0
20210423,clip_30_1257,115,2021-04-23 12:57:00,9.7,40,0.0,-3.1,317,3.2,824,10.0
20210423,clip_15_0644,5,2021-04-23 06:44:00,6.8,51,0.0,-2.6,336,5.6,346,10.0
20210423,clip_44_1902,5,2021-04-23 19:02:00,5.9,79,0.0,2.5,273,1.9,4,0.0
20210423,clip_10_0424,115,2021-04-23 04:24:00,1.8,69,0.0,-3.2,320,1.8,14,0.0
20210423,clip_39_1709,115,2021-04-23 17:09:00,8.0,68,0.0,2.3,296,3.8,220,10.0
20210423,clip_12_0520,115,2021-04-23 05:20:00,4.2,60,0.0,-2.9,337,2.4,145,10.0
20210423,clip_46_1958,34,2021-04-23 19:58:00,4.0,86,0.0,2.0,273,0.8,0,0.0
20210423,clip_22_0937,70,2021-04-23 09:37:00,8.3,39,0.0,-4.7,343,5.3,450,3.5
20210423,clip_47_2026,11,2021-04-23 20:26:00,2.7,91,0.0,1.3,0,0.0,0,0.0
20210423,clip_23_1005,5,2021-04-23 10:05:00,9.5,36,0.0,-4.8,332,4.7,859,10.0
20210423,clip_4_0136,5,2021-04-23 01:36:00,2.3,66,0.0,-3.5,319,2.2,0,0.0
20210423,clip_13_0548,115,2021-04-23 05:48:00,5.2,57,0.0,-2.6,330,2.4,220,10.0
20210423,clip_53_2254,5,2021-04-23 22:54:00,3.6,69,0.0,-1.5,340,2.3,0,0.0
20210424,clip_0_0000,5,2021-04-24 00:00:00,2.6,70,0.0,-2.3,336,2.7,0,0.0
20210424,clip_53_2333,115,2021-04-24 23:33:00,-1.9,85,0.0,-4.2,0,0.0,0,0.0
20210424,clip_36_1610,115,2021-04-24 16:10:00,8.0,32,0.0,-7.6,340,3.4,388,10.0
20210424,clip_43_1904,115,2021-04-24 19:04:00,3.5,57,0.0,-4.3,319,1.2,5,0.0
20210424,clip_15_0659,76,2021-04-24 06:59:00,6.1,48,0.0,-4.0,36,1.9,405,10.0
20210424,clip_11_0508,115,2021-04-24 05:08:00,1.2,63,0.0,-5.2,353,1.7,78,4.5
20210424,clip_47_2056,5,2021-04-24 20:56:00,0.5,73,0.0,-3.9,303,1.0,0,0.0
20210424,clip_24_1046,106,2021-04-24 10:46:00,7.7,34,0.0,-7.1,338,3.4,635,6.0
20210424,clip_13_0603,5,2021-04-24 06:03:00,3.7,52,0.0,-5.4,2,1.8,256,10.0
20210424,clip_41_1808,5,2021-04-24 18:08:00,5.7,46,0.0,-4.9,316,2.5,80,10.0
20210424,clip_30_1334,26,2021-04-24 13:34:00,9.0,30,0.0,-7.7,342,3.5,769,10.0
20210424,clip_6_0248,34,2021-04-24 02:48:00,2.0,61,0.0,-4.8,10,2.1,0,0.0
20210424,clip_44_1932,115,2021-04-24 19:32:00,2.2,63,0.0,-4.1,351,0.6,0,0.0
