Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20200810,clip_0_0944,5,2020-08-10 09:44:00,23.9,48,0.0,12.1,354,1.8,704,10.0,0.006687384098768234,0.004383402
20200810,clip_31_2356,115,2020-08-10 23:56:00,11.3,99,0.0,11.1,0,0.0,0,0.0,0.004732954315841198,0.002554952
20200810,clip_19_1828,115,2020-08-10 18:28:00,20.0,70,0.0,14.3,326,1.4,71,10.0,0.008858224377036095,0.0052415878
20200810,clip_23_2012,5,2020-08-10 20:12:00,14.9,91,0.0,13.5,0,0.0,0,0.0,0.00706089474260807,0.0042719445
20200810,clip_11_1452,115,2020-08-10 14:52:00,23.8,56,0.0,14.5,338,3.8,575,10.0,0.009812010452151299,0.006102913
20200811,clip_0_0000,5,2020-08-11 00:00:00,11.1,99,0.0,10.9,114,0.5,0,0.0,0.00472070649266243,0.0025423728
20200811,clip_37_1610,115,2020-08-11 16:10:00,23.3,60,0.0,15.1,113,3.8,385,10.0,0.010932435281574726,0.006615129
20200811,clip_53_2327,115,2020-08-11 23:27:00,15.8,96,0.0,15.2,111,1.4,0,0.0,0.004052827134728432,0.0023006154
20200811,clip_15_0638,5,2020-08-11 06:38:00,18.0,95,0.0,17.2,128,2.9,226,3.0,0.0036973862443119287,0.0020074854
20200811,clip_20_0858,5,2020-08-11 08:58:00,22.5,64,0.0,15.4,110,2.2,634,10.0,0.0046042464673519135,0.0027539649
20200812,clip_0_0000,5,2020-08-12 00:00:00,15.8,97,0.0,15.2,102,1.2,0,0.0,0.004297982901334763,0.0024033054
20200812,clip_54_2350,115,2020-08-12 23:50:00,13.1,95,0.0,12.3,124,0.9,0,0.0,0.0044170282781124115,0.0023703377
20200812,clip_32_1420,115,2020-08-12 14:20:00,24.3,35,0.0,8.0,115,4.1,618,10.0,0.007023417390882969,0.004622002
20200812,clip_15_0656,88,2020-08-12 06:56:00,20.2,73,0.0,15.2,128,3.6,367,10.0,0.004137545358389616,0.0023983046
20200812,clip_43_1902,5,2020-08-12 19:02:00,18.0,71,0.0,12.7,106,1.4,7,0.0,0.008535024709999561,0.0051906314
20200813,clip_0_0000,5,2020-08-13 00:00:00,12.9,96,0.0,12.2,119,1.2,0,0.0,0.004457354545593262,0.0023957943
20200813,clip_33_1435,115,2020-08-13 14:35:00,26.5,43,0.0,12.8,143,3.0,565,10.0,0.009882006794214249,0.0062167663
20200813,clip_54_2348,115,2020-08-13 23:48:00,13.1,96,0.0,12.4,0,0.0,0,0.0,0.005099736154079437,0.00280772
20200813,clip_16_0709,115,2020-08-13 07:09:00,19.3,73,0.0,14.3,141,2.1,313,7.5,0.003904891898855567,0.002390723
20200813,clip_42_1839,115,2020-08-13 18:39:00,20.5,57,0.0,11.8,111,1.1,36,0.5,0.007988650351762772,0.0044508437
20200814,clip_0_0000,5,2020-08-14 00:00:00,12.6,96,0.0,12.0,109,0.6,0,0.0,0.004971316084265709,0.0027152167
20200814,clip_30_1311,115,2020-08-14 13:11:00,27.8,37,0.0,11.9,238,2.3,691,10.0,0.009066681377589703,0.0057224706
20200814,clip_54_2347,115,2020-08-14 23:47:00,16.1,96,0.0,15.4,278,1.6,0,0.0,0.00524564553052187,0.0028172128
20200814,clip_16_0703,115,2020-08-14 07:03:00,19.7,73,0.0,14.8,196,1.8,362,10.0,0.006575273349881172,0.0038074607
20200814,clip_41_1808,5,2020-08-14 18:08:00,21.2,61,0.0,13.4,318,1.2,83,10.0,0.00909932516515255,0.0052674813
20200815,clip_0_0000,5,2020-08-15 00:00:00,16.1,96,0.0,15.4,273,1.0,0,0.0,0.005234073847532272,0.0028301198
20200815,clip_53_2349,115,2020-08-15 23:49:00,11.9,98,0.0,11.6,0,0.0,0,0.0,0.005340790841728449,0.0029405782
20200815,clip_30_1344,115,2020-08-15 13:44:00,26.8,47,0.0,14.7,221,1.6,658,10.0,0.011577701196074486,0.007247664
20200815,clip_41_1839,5,2020-08-15 18:39:00,19.1,81,0.0,15.7,319,0.9,24,0.0,0.007848515175282955,0.004465666
20200815,clip_19_0837,5,2020-08-15 08:37:00,19.4,77,0.3,15.2,230,1.1,584,10.0,0.0030007734894752502,0.0017443962
20200816,clip_0_0000,5,2020-08-16 00:00:00,12.0,99,0.0,11.7,0,0.0,0,0.0,0.005436853040009737,0.0029824772
20200816,clip_34_1523,115,2020-08-16 15:23:00,27.6,39,0.0,12.6,132,4.3,448,10.0,0.01004631444811821,0.0061036116
20200816,clip_18_0757,101,2020-08-16 07:57:00,19.3,91,0.0,17.9,113,1.0,496,10.0,0.006868847645819187,0.0037875318
