Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20200810,clip_0_0944,5,10/08/2020 09:44,23.9,48,0,12.1,354,1.8,704,10,0.007,0.0041
20200810,clip_31_2356,115,10/08/2020 23:56,11.3,99,0,11.1,0,0,0,0,0.0066,0.0036
20200810,clip_19_1828,115,10/08/2020 18:28,20,70,0,14.3,326,1.4,71,10,0.0095,0.0051
20200810,clip_23_2012,5,10/08/2020 20:12,14.9,91,0,13.5,0,0,0,0,0.008,0.0046
20200810,clip_11_1452,115,10/08/2020 14:52,23.8,56,0,14.5,338,3.8,575,10,0.0104,0.0058
20200811,clip_0_0000,5,11/08/2020 00:00,11.1,99,0,10.9,114,0.5,0,0,0.0066,0.0036
20200811,clip_37_1610,115,11/08/2020 16:10,23.3,60,0,15.1,113,3.8,385,10,0.0114,0.0062
20200811,clip_53_2327,115,11/08/2020 23:27,15.8,96,0,15.2,111,1.4,0,0,0.0059,0.0031
20200811,clip_15_0638,5,11/08/2020 06:38,18,95,0,17.2,128,2.9,226,3,0.0055,0.0028
20200811,clip_20_0858,5,11/08/2020 08:58,22.5,64,0,15.4,110,2.2,634,10,0.0056,0.003
20200812,clip_0_0000,5,12/08/2020 00:00,15.8,97,0,15.2,102,1.2,0,0,0.0062,0.0034
20200812,clip_54_2350,115,12/08/2020 23:50,13.1,95,0,12.3,124,0.9,0,0,0.0066,0.0036
20200812,clip_32_1420,115,12/08/2020 14:20,24.3,35,0,8,115,4.1,618,10,0.0088,0.0052
20200812,clip_15_0656,88,12/08/2020 06:56,20.2,73,0,15.2,128,3.6,367,10,0.0054,0.0027
20200812,clip_43_1902,5,12/08/2020 19:02,18,71,0,12.7,106,1.4,7,0,0.009,0.0048
20200813,clip_0_0000,5,13/08/2020 00:00,12.9,96,0,12.2,119,1.2,0,0,0.0067,0.0037
20200813,clip_33_1435,115,13/08/2020 14:35,26.5,43,0,12.8,143,3,565,10,0.0106,0.0059
20200813,clip_54_2348,115,13/08/2020 23:48,13.1,96,0,12.4,0,0,0,0,0.0067,0.0037
20200813,clip_16_0709,115,13/08/2020 07:09,19.3,73,0,14.3,141,2.1,313,7.5,0.0061,0.0034
20200813,clip_42_1839,115,13/08/2020 18:39,20.5,57,0,11.8,111,1.1,36,0.5,0.0088,0.0044
20200814,clip_0_0000,5,14/08/2020 00:00,12.6,96,0,12,109,0.6,0,0,0.0068,0.0037
20200814,clip_30_1311,115,14/08/2020 13:11,27.8,37,0,11.9,238,2.3,691,10,0.01,0.0055
20200814,clip_54_2347,115,14/08/2020 23:47,16.1,96,0,15.4,278,1.6,0,0,0.0062,0.0031
20200814,clip_16_0703,115,14/08/2020 07:03,19.7,73,0,14.8,196,1.8,362,10,0.0065,0.0035
20200814,clip_41_1808,5,14/08/2020 18:08,21.2,61,0,13.4,318,1.2,83,10,0.0096,0.0052
20200815,clip_0_0000,5,15/08/2020 00:00,16.1,96,0,15.4,273,1,0,0,0.0061,0.003
20200815,clip_53_2349,115,15/08/2020 23:49,11.9,98,0,11.6,0,0,0,0,0.0063,0.0033
20200815,clip_30_1344,115,15/08/2020 13:44,26.8,47,0,14.7,221,1.6,658,10,0.0115,0.0064
20200815,clip_41_1839,5,15/08/2020 18:39,19.1,81,0,15.7,319,0.9,24,0,0.0086,0.0045
20200815,clip_19_0837,5,15/08/2020 08:37,19.4,77,0.3,15.2,230,1.1,584,10,0.0047,0.0024
20200816,clip_0_0000,5,16/08/2020 00:00,12,99,0,11.7,0,0,0,0,0.0064,0.0033
20200816,clip_34_1523,115,16/08/2020 15:23,27.6,39,0,12.6,132,4.3,448,10,0.0106,0.0059
20200816,clip_18_0757,101,16/08/2020 07:57,19.3,91,0,17.9,113,1,496,10,0.007,0.0036
20200816,clip_22_0949,5,16/08/2020 09:49,26.5,47,0,14.2,137,1.4,665,10,0.0066,0.0036
20200816,clip_12_0509,115,16/08/2020 05:09,13.6,100,0,13.6,0,0,68,0,0.0032,0.0014
20200817,clip_0_0941,5,17/08/2020 09:41,27.3,44,0,13.8,124,3.9,676,10,0.0061,0.0034
20200817,clip_31_2337,115,17/08/2020 23:37,15,86,0,12.7,110,0.7,0,0,0.0065,0.0037
20200817,clip_19_1812,115,17/08/2020 18:12,24,52,0,13.6,107,2,67,10,0.0098,0.0052
20200817,clip_12_1504,36,17/08/2020 15:04,28.1,34,0,10.7,124,3.6,511,10,0.0095,0.0051
20200817,clip_23_2004,115,17/08/2020 20:04,19.1,70,0,13.5,106,0.6,0,0,0.007,0.0039
20200818,clip_0_0000,5,18/08/2020 00:00,14.6,88,0,12.7,105,1,0,0,0.0064,0.0037
20200818,clip_31_2359,59,18/08/2020 23:59,16,99,0,15.8,204,0.7,0,0,0.0056,0.0029
20200818,clip_13_1547,5,18/08/2020 15:47,21.9,75,0,17.2,254,0.8,198,0,0.006,0.003
20200818,clip_20_1903,5,18/08/2020 19:03,18.3,94,0,17.2,295,0.9,5,0,0.0057,0.003
20200818,clip_10_0440,115,18/08/2020 04:40,12.3,98,0,12,103,0.3,21,0,0.0062,0.0037
20200819,clip_0_0000,5,19/08/2020 00:00,16.2,99,0,16.1,169,0.6,0,0,0.0056,0.0029
20200819,clip_52_2334,115,19/08/2020 23:34,13.8,99,0,13.6,106,0.5,0,0,0.0062,0.0034
20200819,clip_34_1531,115,19/08/2020 15:31,23.6,52,0,13.1,224,2.6,454,10,0.008,0.0042
20200819,clip_20_0917,35,19/08/2020 09:17,19.4,83,0,16.5,226,1.7,646,10,0.0046,0.0023
20200819,clip_41_1847,115,19/08/2020 18:47,18.1,86,0,15.7,0,0,7,0,0.0069,0.0036
20200820,clip_0_0000,5,20/08/2020 00:00,13.9,99,0,13.7,69,0.8,0,0,0.0061,0.0033
20200820,clip_49_2201,115,20/08/2020 22:01,18.9,96,0,18.2,186,1.8,0,0,0.0042,0.0019
20200820,clip_17_0755,5,20/08/2020 07:55,19.2,86,0,16.9,121,2.7,107,0,0.0045,0.0022
20200820,clip_12_0535,115,20/08/2020 05:35,16,100,0,16,103,1.7,56,0,0.0057,0.0032
20200820,clip_33_1450,26,20/08/2020 14:50,18.1,94,0,17,139,3.5,86,0,0.0048,0.0022
20200821,clip_0_0000,5,21/08/2020 00:00,16.5,99,0,16.4,137,1.2,0,0,0.0059,0.0032
20200821,clip_34_1539,115,21/08/2020 15:39,25.7,38,0,10.2,212,6.9,426,9.5,0.0067,0.0033
20200821,clip_53_2351,115,21/08/2020 23:51,16.9,83,0,14,170,3.3,0,0,0.007,0.0039
20200821,clip_24_1059,115,21/08/2020 10:59,19.5,92,0,18.2,139,5.7,98,0,0.0036,0.0016
20200821,clip_39_1740,115,21/08/2020 17:40,21.9,58,0,13.3,214,4,49,0,0.0084,0.0044
20200822,clip_0_0000,5,22/08/2020 00:00,16.8,84,0,14,172,3.2,0,0,0.0071,0.0039
20200822,clip_53_2344,115,22/08/2020 23:44,13.9,94,0,12.9,201,3.2,0,0,0.0052,0.0027
20200822,clip_33_1443,115,22/08/2020 14:43,20.9,61,0,13,232,4.8,553,9.5,0.0082,0.0043
20200822,clip_34_1511,115,22/08/2020 15:11,17,79,0,13.4,245,7.1,59,0,0.0062,0.0031
20200823,clip_0_0000,5,23/08/2020 00:00,13.8,94,0,12.9,199,3.4,0,0,0.0055,0.003
20200823,clip_33_1433,115,23/08/2020 14:33,18.8,62,0,11.4,276,5.1,618,10,0.0071,0.0035
20200823,clip_51_2240,115,23/08/2020 22:40,12.6,86,0,10.3,264,2.4,0,0,0.0065,0.0038
20200823,clip_39_1721,115,23/08/2020 17:21,15.6,76,0,11.4,268,4.5,169,10,0.0088,0.0044
20200824,clip_0_0000,5,24/08/2020 00:00,13.3,63,0,6.4,285,3.9,0,0,0.0062,0.0036
20200824,clip_45_1938,115,24/08/2020 19:38,11.8,77,0,7.8,239,1.5,0,0,0.0075,0.0041
20200824,clip_27_1142,115,24/08/2020 11:42,17,47,0,5.8,299,4,830,9,0.0064,0.0034
20200824,clip_11_0442,115,24/08/2020 04:42,10.5,75,0,6.2,260,1.5,18,0,0.0057,0.0033
20200825,clip_0_1216,5,25/08/2020 12:16,17,54,0,7.6,268,3,810,10,0.0068,0.0039
20200825,clip_25_2345,115,25/08/2020 23:45,14.1,87,0.2,11.9,121,4.6,0,0,0.0054,0.0028
20200825,clip_12_1748,5,25/08/2020 17:48,15.2,52,0,5.5,119,1.5,21,0,0.0094,0.0051
20200825,clip_9_1628,115,25/08/2020 16:28,17.1,44,0,4.7,177,2.5,162,1,0.0086,0.0051
20200826,clip_0_0000,5,26/08/2020 00:00,13.9,91,0.5,12.5,117,3.3,0,0,0.0054,0.0028
20200826,clip_51_2336,115,26/08/2020 23:36,13,90,0.1,11.4,334,1.6,0,0,0.0048,0.0024
20200826,clip_20_0920,115,26/08/2020 09:20,19.3,82,0,16.1,27,2,623,7,0.0054,0.0024
20200826,clip_32_1452,5,26/08/2020 14:52,15.6,88,0,13.7,13,2.6,62,0,0.0056,0.0027
20200827,clip_0_0000,5,27/08/2020 00:00,12.8,94,0,11.8,333,1.5,0,0,0.0048,0.0023
20200827,clip_53_2349,115,27/08/2020 23:49,11.6,94,0,10.7,0,0,0,0,0.0053,0.0027
20200827,clip_31_1404,115,27/08/2020 14:04,18.7,64,0,11.6,280,2.5,549,6,0.0055,0.0028
20200827,clip_40_1759,62,27/08/2020 17:59,15,74,0,10.4,296,1.5,41,9.5,0.0061,0.0032
20200828,clip_0_0000,5,28/08/2020 00:00,11.5,95,0,10.7,0,0,0,0,0.0054,0.0028
20200828,clip_53_2347,115,28/08/2020 23:47,12.8,98,0.2,12.5,77,1.5,0,0,0.0039,0.0019
20200828,clip_24_1047,5,28/08/2020 10:47,16.8,80,0,13.3,87,2,603,9.5,0.0054,0.0027
20200828,clip_17_0731,115,28/08/2020 07:31,13.7,95,0,12.8,0,0,138,0,0.0048,0.0025
20200829,clip_0_0000,5,29/08/2020 00:00,12.9,98,0,12.7,75,0.7,0,0,0.004,0.002
20200829,clip_52_2334,115,29/08/2020 23:34,10.3,97,0,9.8,353,1.1,0,0,0.0075,0.004
20200829,clip_38_1707,115,29/08/2020 17:07,16.6,79,0,13,17,1.5,182,10,0.0057,0.0027
20200829,clip_42_1859,5,29/08/2020 18:59,13.2,88,0,11.3,353,0.7,0,0,0.0056,0.0025
20200830,clip_0_0000,5,30/08/2020 00:00,9.8,97,0,9.4,334,1,0,0,0.0069,0.0037
20200830,clip_52_2346,115,30/08/2020 23:46,7.3,98,0,7,0,0,0,0,0.0067,0.0041
20200830,clip_33_1500,115,30/08/2020 15:00,19,63,0,11.8,312,2.8,474,10,0.0091,0.0052
20200830,clip_16_0728,12,30/08/2020 07:28,14.6,87,0,12.5,303,0.4,248,2.5,0.0069,0.0037
20200831,clip_0_0000,5,31/08/2020 00:00,7.6,98,0,7.3,0,0,0,0,0.0067,0.0042
20200831,clip_35_1538,115,31/08/2020 15:38,18.8,41,0,5.1,337,2.4,373,10,0.0132,0.0074
20200831,clip_53_2348,115,31/08/2020 23:48,6,96,0,5.5,0,0,0,0,0.0071,0.0041
20200831,clip_16_0724,110,31/08/2020 07:24,13.4,89,0,11.7,46,1,362,10,0.0067,0.0036
