Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20210108,clip_0_1158,5,08/01/2021 11:58,0,92,0,-1.2,13,2.5,39,0,0.0023,0.0011
20210108,clip_22_2355,115,08/01/2021 23:55,0.1,94,0,-0.7,17,2.2,0,0,0.0016,0.0005
20210108,clip_19_2231,115,08/01/2021 22:31,-0.1,94,0,-0.9,9,2.8,0,0,0.0017,0.0006
20210108,clip_6_1627,115,08/01/2021 16:27,0.1,90,0,-1.4,20,2.9,0,0,0.0019,0.0008
20210108,clip_5_1418,115,08/01/2021 14:18,-0.1,94,0,-0.9,18,2.4,9,0,0.0018,0.0006
20210109,clip_0_0000,5,09/01/2021 00:00,0.1,94,0,-0.8,14,2.4,0,0,0.0016,0.0005
20210109,clip_50_2339,115,09/01/2021 23:39,-0.5,86,0,-2.6,192,4.5,0,0,0.0079,0.0037
20210109,clip_29_1311,115,09/01/2021 13:11,1.5,96,0,0.8,226,0.4,163,10,0.0044,0.0021
20210109,clip_34_1620,103,09/01/2021 16:20,0.4,93,0,-0.6,215,1.8,0,0,0.0038,0.0017
20210109,clip_16_0707,83,09/01/2021 07:07,0.4,96,0,-0.2,4,1.7,0,0,0.0018,0.0008
20210110,clip_0_0000,5,10/01/2021 00:00,-0.2,86,0,-2.2,195,5,0,0,0.0039,0.0019
20210110,clip_53_2339,115,10/01/2021 23:39,-0.3,92,0,-1.5,205,2.6,0,0,0.005,0.0026
20210110,clip_28_1230,5,10/01/2021 12:30,3.2,79,0,0,261,2,158,10,0.0069,0.0036
20210110,clip_22_0958,5,10/01/2021 09:58,1.1,93,0,0.1,226,2.1,81,0,0.0057,0.003
20210110,clip_36_1607,75,10/01/2021 16:07,0.2,93,0,-0.8,223,2.1,0,0,0.0059,0.0031
20210111,clip_0_0000,5,11/01/2021 00:00,-0.1,91,0,-1.4,201,3.1,0,0,0.0052,0.0028
20210111,clip_39_1802,115,11/01/2021 18:02,5.7,97,0.4,5.2,257,5.4,0,0,0.0022,0.0008
20210111,clip_51_2338,115,11/01/2021 23:38,1.6,90,0,0.2,329,3.7,0,0,0.0023,0.001
20210111,clip_15_0641,5,11/01/2021 06:41,3.3,98,0.1,2.9,201,4.5,0,0,0.0021,0.0007
20210111,clip_22_0957,11,11/01/2021 09:57,5.2,98,0.1,4.9,223,5.9,31,0,0.0025,0.001
20210112,clip_0_0000,5,12/01/2021 00:00,1.2,88,0,-0.5,314,2.7,0,0,0.0024,0.001
20210112,clip_44_2343,115,12/01/2021 23:43,2.4,70,0,-2.6,298,4.6,0,0,0.0058,0.0032
20210112,clip_10_0434,115,12/01/2021 04:34,-1.2,81,0,-4.1,287,1.9,0,0,0.0064,0.0034
20210112,clip_26_1540,5,12/01/2021 15:40,0.9,69,0,-4.2,297,4.6,0,0,0.0062,0.0032
20210113,clip_0_0000,5,13/01/2021 00:00,2.4,70,0,-2.4,294,4.9,0,0,0.0049,0.0025
20210113,clip_45_2345,115,13/01/2021 23:45,-0.9,78,0,-4.3,13,4.8,0,0,0.0017,0.0007
20210113,clip_14_0617,5,13/01/2021 06:17,-0.4,98,0,-0.7,0,0,0,0,0.002,0.0007
20210113,clip_33_1811,5,13/01/2021 18:11,0.1,81,0,-2.8,20,4.5,0,0,0.0028,0.0013
20210114,clip_0_0000,5,14/01/2021 00:00,-1,76,0,-4.7,22,5.7,0,0,0.0021,0.001
20210114,clip_48_2351,115,14/01/2021 23:51,-3.8,90,0,-5.3,43,1.2,0,0,0.0023,0.0012
20210114,clip_25_1330,115,14/01/2021 13:30,-2.3,87,0,-4.2,28,2,24,0,0.0018,0.0007
20210114,clip_45_2227,115,14/01/2021 22:27,-2.6,87,0,-4.4,17,1.3,0,0,0.0022,0.0011
20210115,clip_0_0000,5,15/01/2021 00:00,-3.7,89,0,-5.2,40,1,0,0,0.0024,0.0012
20210115,clip_44_2319,115,15/01/2021 23:19,-10,93,0,-10.9,0,0,0,0,0.0054,0.0031
20210115,clip_33_1642,115,15/01/2021 16:42,-2.9,79,0,-6,346,2.1,0,0,0.0057,0.0033
20210115,clip_36_1935,5,15/01/2021 19:35,-6.7,93,0,-7.6,10,1.4,0,0,0.0059,0.0034
