Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name,precision,recall,accuracy,f1_score
20200810,clip_0_0944,5,10/08/2020 09:44,23.9,48,0,12.1,354,1.8,704,10,YOLOv5,feb_month,jan_apr_aug,0.001389917,3,day,144.8175053,45.86624789,9,0,Monday,4,Late Morning,0.5,0.333333333,0.25,0.4
20200810,clip_11_1452,115,10/08/2020 14:52,23.8,56,0,14.5,338,3.8,575,10,YOLOv5,feb_month,jan_apr_aug,0.011793322,15,day,244.5899786,56.79338603,14,0,Monday,5,Early Afternoon,0.714285714,0.333333333,0.294117647,0.454545455
20200810,clip_19_1828,115,10/08/2020 18:28,20,70,0,14.3,326,1.4,71,10,YOLOv5,feb_month,jan_apr_aug,0.001530693,5,day,291.2332582,85.26463161,18,0,Monday,7,Early Evening,1,0.4,0.4,0.571428571
20200810,clip_23_2012,5,10/08/2020 20:12,14.9,91,0,13.5,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.007506836,12,day,313.3371533,97.35530936,20,0,Monday,7,Early Evening,0.5,0.416666667,0.294117647,0.454545455
20200810,clip_31_2356,115,10/08/2020 23:56,11.3,99,0,11.1,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.005975613,5,night,7.710980893,107.4831696,23,0,Monday,8,Late Evening,1,1,1,1
20200811,clip_0_0000,5,11/08/2020 00:00,11.1,99,0,10.9,114,0.5,0,0,YOLOv5,feb_month,jan_apr_aug,0.001391938,2,night,8.71944845,107.4062626,0,1,Tuesday,1,Early Post-Midnight,0.333333333,0.5,0.25,0.4
20200811,clip_15_0638,5,11/08/2020 06:38,18,95,0,17.2,128,2.9,226,3,YOLOv5,feb_month,jan_apr_aug,0.005173618,2,day,96.85786124,67.49588147,6,1,Tuesday,3,Early Morning,1,1,1,1
20200811,clip_20_0858,5,11/08/2020 08:58,22.5,64,0,15.4,110,2.2,634,10,YOLOv5,feb_month,jan_apr_aug,0.004608425,5,day,131.1792672,50.3017598,8,1,Tuesday,3,Early Morning,0.5,1,0.5,0.666666667
20200811,clip_37_1610,115,11/08/2020 16:10,23.3,60,0,15.1,113,3.8,385,10,YOLOv5,feb_month,jan_apr_aug,0.007401982,5,day,262.4460682,67.20684327,16,1,Tuesday,6,Late Afternoon,0.5,0.2,0.166666667,0.285714286
20200811,clip_53_2327,115,11/08/2020 23:27,15.8,96,0,15.2,111,1.4,0,0,YOLOv5,feb_month,jan_apr_aug,0.006108302,5,night,0.418192,108.054418,23,1,Tuesday,8,Late Evening,0.4,0.4,0.25,0.4
20200812,clip_0_0000,5,12/08/2020 00:00,15.8,97,0,15.2,102,1.2,0,0,YOLOv5,feb_month,jan_apr_aug,0.001102409,2,night,8.78840067,107.7011513,0,2,Wednesday,1,Early Post-Midnight,,0,0,0
20200812,clip_15_0656,88,12/08/2020 06:56,20.2,73,0,15.2,128,3.6,367,10,YOLOv5,feb_month,jan_apr_aug,0.005078905,2,day,101.0224936,65.31219099,6,2,Wednesday,3,Early Morning,1,1,1,1
