Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name
20210108,clip_0_1158,5,2021-01-08 11:58:00,0.0,92,0.0,-1.2,13,2.5,39,0.0,0.0038,0.0024,CAE,feb_month,results_jan,0.004698634147644043,8.0,day,187.27400308988896,79.40322369949466,11,4,Friday,4,Late Morning
20210108,clip_22_2355,115,2021-01-08 23:55:00,0.1,94,0.0,-0.7,17,2.2,0,0.0,0.0012,0.0005,CAE,feb_month,results_jan,0.003873414359986782,4.0,night,11.140152056105592,144.68681906868676,23,4,Friday,8,Late Evening
20210108,clip_19_2231,115,2021-01-08 22:31:00,-0.1,94,0.0,-0.9,9,2.8,0,0.0,0.0015,0.0007,CAE,feb_month,results_jan,0.001382435322739184,3.0,night,337.7077213713078,143.57588387523384,22,4,Friday,8,Late Evening
20210108,clip_6_1627,115,2021-01-08 16:27:00,0.1,90,0.0,-1.4,20,2.9,0,0.0,0.0024,0.0009,CAE,feb_month,results_jan,0.008344503119587898,9.0,night,245.5464828720962,100.69474671681812,16,4,Friday,6,Late Afternoon
20210108,clip_5_1418,115,2021-01-08 14:18:00,-0.1,94,0.0,-0.9,18,2.4,9,0.0,0.002,0.0008,CAE,feb_month,results_jan,0.0015846267342567444,0.0,day,218.98885266157595,86.70535345688262,14,4,Friday,5,Early Afternoon
20210109,clip_0_0000,5,2021-01-09 00:00:00,0.1,94,0.0,-0.8,14,2.4,0,0.0,0.0012,0.0005,CAE,feb_month,results_jan,0.0014254833804443479,3.0,night,13.124238956448949,144.54347826822462,0,5,Saturday,1,Early Post-Midnight
20210109,clip_50_2339,115,2021-01-09 23:39:00,-0.5,86,0.0,-2.6,192,4.5,0,0.0,0.0068,0.0035,CAE,feb_month,results_jan,0.0009424857562407851,2.0,night,4.548553560703226,144.84791147924938,23,5,Saturday,8,Late Evening
20210109,clip_29_1311,115,2021-01-09 13:11:00,1.5,96,0.0,0.8,226,0.4,163,10.0,0.0078,0.0038,CAE,feb_month,results_jan,0.010927075520157814,25.0,day,204.1054467483361,81.89839629281062,13,5,Saturday,5,Early Afternoon
20210109,clip_34_1620,103,2021-01-09 16:20:00,0.4,93,0.0,-0.6,215,1.8,0,0.0,0.0067,0.0031,CAE,feb_month,results_jan,0.009800765663385391,11.0,night,244.1454176021367,99.66169808625082,16,5,Saturday,6,Late Afternoon
20210109,clip_16_0707,83,2021-01-09 07:07:00,0.4,96,0.0,-0.2,4,1.7,0,0.0,0.0013,0.0006,CAE,feb_month,results_jan,0.0015448410995304585,5.0,night,122.30706833380299,95.91079896189329,7,5,Saturday,3,Early Morning
